,Raw Tweet,Text Extraction,Hashtag Extraction,Reference Extraction,URL Extraction,Tweet Location,Tweet Time
0,Link of the day! Most popular link among people I follow is http://t.co/0KYwHoVPtx by @BarackObama,link of the day most popular link among people i follow is  by ,[],[@BarackObama],[http://t.co/0KYwHoVPtx],"Nairobi, Kenya",Sat Jul 11 11:27:11 +0000 2015
1,More improvement to Nairobi in the last 3 weeks than the last 3 years. @BarackObama you should visit more  often,more improvement to nairobi in the last 3 weeks than the last 3 years  you should visit more  often,[],[@BarackObama],[],,Sat Jul 11 11:25:49 +0000 2015
2,RT @jesskayding: @BusterTiberiusB @People4Bernie I know right. I didn't even do that for President @BarackObama .,    i know right i didnt even do that for president  ,[],"[@jesskayding, @BusterTiberiusB, @People4Bernie, @BarackObama]",[],,Sat Jul 11 11:25:22 +0000 2015
3,#fileI485 Plz implement policy to provide AOS for approved I140 @POTUS @BarackObama @PAniskoff44 @DHSgov  $^]*-,filei485 plz implement policy to provide aos for approved i140      ,[#fileI485],"[@POTUS, @BarackObama, @PAniskoff44, @DHSgov]",[],HYDERABAD  INDIA,Sat Jul 11 11:25:02 +0000 2015
4,@thehill @POTUS @BarackObama @WhiteHouse @JohnKerry  India with 400% of USA Population Size Lives in 25%of USA Land Area  with Peace,      india with 400 of usa population size lives in 25of usa land area  with peace,[],"[@thehill, @POTUS, @BarackObama, @WhiteHouse, @JohnKerry]",[],,Sat Jul 11 11:24:40 +0000 2015
5,"RT @4Awesometweet: @BarackObama FEEL FREE TO TALK ABOUT THE MURDER OF #KateSteinle #KatesLaw #tcot #SanctuaryCity #SanctuaryCities
http://t","   feel free to talk about the murder of katesteinle kateslaw tcot sanctuarycity sanctuarycities
httpt","[#KateSteinle, #KatesLaw, #tcot, #SanctuaryCity, #SanctuaryCities]","[@4Awesometweet, @BarackObama]",[],,Sat Jul 11 11:24:24 +0000 2015
6,RT @jerryldavis2010: @GOP @HouseGOP @Senate_GOPs WhatDidUDoThatWouldaKept #KateSteinle's IllegalFelonKillerOffUS Soil?ULet @BarackObama Hav,     whatdidudothatwouldakept katesteinles illegalfelonkilleroffus soilulet  hav,[#KateSteinle],"[@jerryldavis2010, @GOP, @HouseGOP, @Senate_GOPs, @BarackObama]",[],Nouvelle-Calédonie,Sat Jul 11 11:24:09 +0000 2015
7,RT @BarackObama: The President just took steps to protect more than one million acres of public land: http://t.co/P6jNlpjiYO http://t.co/NJ,  the president just took steps to protect more than one million acres of public land  ,[],[@BarackObama],"[http://t.co/P6jNlpjiYO, http://t.co/NJ]",Arizona,Sat Jul 11 11:24:02 +0000 2015
8,#Equality https://t.co/nx9Hw3m0Gl #immigration #illegals No one asked @BarackObama what he was going to remake America into. oops! #SJWs,equality  immigration illegals no one asked  what he was going to remake america into oops sjws,"[#Equality, #immigration, #illegals, #SJWs]",[@BarackObama],[https://t.co/nx9Hw3m0Gl],Hong Kong,Sat Jul 11 11:23:35 +0000 2015
9,".@BarackObama @POTUS Please post something against Bok Nal Torture Festival, South Korea is your ally #stopboknal2015 @rickygervais",  please post something against bok nal torture festival south korea is your ally stopboknal2015 ,[#stopboknal2015],"[@BarackObama, @POTUS, @rickygervais]",[],United States,Sat Jul 11 11:23:35 +0000 2015
10,@GOP @HouseGOP @Senate_GOPs WhatDidUDoThatWouldaKept #KateSteinle's IllegalFelonKillerOffUS Soil?ULet @BarackObama HavFullReign &amp; Kate'sDead,   whatdidudothatwouldakept katesteinles illegalfelonkilleroffus soilulet  havfullreign and katesdead,[#KateSteinle],"[@GOP, @HouseGOP, @Senate_GOPs, @BarackObama]",[],,Sat Jul 11 11:23:31 +0000 2015
11,"RT @BarackObama: ""You inspired a whole new generation of young women."" President Obama to the @ussoccer_wnt #SheBelieves https://t.co/ypim",  you inspired a whole new generation of young women president obama to the  shebelieves ,[#SheBelieves],"[@BarackObama, @ussoccer_wnt]",[https://t.co/ypim],njh + lwt /4 soon ꒰๑´•.̫ • `๑꒱,Sat Jul 11 11:23:10 +0000 2015
12,FOLLOW ME BRO @BarackObama,follow me bro ,[],[@BarackObama],[],City of Steel ,Sat Jul 11 11:22:39 +0000 2015
13,"RT @BarackObama: Be part of the movement working for lasting, progressive change: http://t.co/hUM9p5grKE #OFAction http://t.co/41TwFryRem",  be part of the movement working for lasting progressive change  ofaction ,[#OFAction],[@BarackObama],"[http://t.co/hUM9p5grKE, http://t.co/41TwFryRem]",,Sat Jul 11 11:22:38 +0000 2015
